,0
1615,PGBD5
1616,COG2
1617,AGT
1618,CAPN9
1619,C1orf198
1620,TTC13
1621,ARV1
1622,FAM89A
1623,C1orf131
1624,GNPAT
1625,EXOC8
1626,SPRTN
1627,EGLN1
1628,TSNAX
1629,DISC1
1630,SIPA1L2
1631,MAP10
1632,NTPCR
1633,PCNX2
1634,MAP3K21
1635,KCNK1
1636,SLC35F3
1637,COA6
1638,TARBP1
1639,IRF2BP2
1640,TOMM20
1641,RBM34
1642,ARID4B
1643,GGPS1
1644,TBCE
1645,TBCE-1
1646,B3GALNT2
1647,GNG4
1648,LYST
1649,NID1
1650,GPR137B
1651,ERO1B
1652,EDARADD
1653,LGALS8
1654,HEATR1
1655,ACTN2
1656,MTR
1657,RYR2
1658,ZP4
1659,CHRM3
1660,FMN2
1661,GREM2
1662,RGS7
1663,FH
1664,KMO
1665,OPN3
1666,CHML
1667,EXO1
1668,BECN2
1669,MAP1LC3C
1670,CEP170
1671,SDCCAG8
1672,AKT3
1673,ZBTB18
1674,C1orf100
1675,ADSS
1676,CATSPERE
1677,DESI2
1678,COX20
1679,HNRNPU
1680,EFCAB2
